Sentence,Opinion
"Although the völkisch parties had support in elections at first, by 1914 they were no longer influential.",0
Its for wide screen models and it fits perfectly my 255w with a flap that covers it screen.,1
Opportunity cost is the economic cost of production: the value of the next best opportunity foregone.,0
"The ride, comfort, and drive is as expected, however, the quality and reputation of yore are completely gone for the flagship Camry.",1
"Further encouraged by the Allied invasion of Turkey in April 1915, Italy joined the Triple Entente and declared war on Austria-Hungary on 23 May. Fifteen months later, Italy declared war on Germany.",0
Buddhism's continuing influence can be seen in painted artwork such as Lin Tinggui's Luohan Laundering.,0
what so ever.,1
which is an affordable price for a hotel in the posh area of Kensington.,1
The battery dies quickly and seems to die quicker in cold weather.,1
I love the styling the performance and handling.,1
"For more information see sanshō. For the list of upper divisions champions since 1909, refer to the list of top division champions and the list of second division champions.",0
"The subsequent phase was that of cremating the dead and placing their ashes in urns which were then buried in fields, following the customs of the Urnfield culture (1200–800 BC).",0
"When putting the battery on, it nearly doubles the weight of the computer.",1
"However, they can occasionally last for several minutes.",0
"The cognate deity in wider Germanic mythology and paganism was known in Old English as Þunor (Thunor) and in Old High German as Donar (runic þonar ᚦᛟᚾᚨᚱ), stemming from a Proto-Germanic *Þunraz, meaning ""thunder"".",0
"And if you can't wait to twist yourself into some contortion in bed where you need the screen to go back further than reasonable, you can always invest in one of those $20 lap desks, you know, the kind with the beanbag bottom, so that you can shift the desk into whatever ridiculous position will suit your fancy.",1
"""What may strike you as being blatantly blunt topics and comments are no more embarrassing or unusual to the Dutch than discussing the weather.",0
My room was a typical London size i.,1
"Khan, the fourth Great Khan of the Mongol Empire, died in 1259 while besieging the city of Chongqing.",0
"and I highly recommend it, even though it has the wide screen you can stick it in your back pocket which can be conveniently used for walking directions.",1
Great value and service for the price!,1
"Practicality, good interior space, easy to get in and out of including putting an infant in a car seat.",1
"With the very first charge, I got nearly 10 hours of battery life.",1
Great performance and handling make this a real Winner!,1
"Freyja, indignant and angry, goes into a rage, causing all of the halls of the Æsir to tremble in her anger, and her necklace, the famed Brísingamen, falls from her.",0
"The hotel is advertised to have multiple restaurants, but that was not the case either, , other than room service the only option for dinner is The Palms restaurant which is very overpriced for the quality of the food.",1
"Fun to drive, fairly roomy, looks good",1
"Because of the flooding, farming was difficult, which encouraged foreign trade, the result of which was that the Dutch were involved in world affairs since the early 14th/15th century.",0
"For a long time, newspapers were regarded as the most influential information medium in Japan, although audience attitudes towards television changed with the emergence of commercial news broadcasting in the mid-1980s.",0
"The second law said: ""Marriages between Jews and subjects of the state of German or related blood are forbidden.""",0
Smaller village architecture with wooden houses is found in Zaandam and Marken.,0
Staff were helpful although the valet parking and the laundry costs were extremely expensive.,1
id awful.,1
"Despite this, many Chinese people still have a strong sense of mistrust and animosity toward Japan that originates from the memory of Japanese war crimes such as the Nanking Massacre.",0
Immigration and birth incentives are sometimes suggested as a solution to provide younger workers to support the nation's ageing population.,0
"Notwithstanding, economics legitimately has a role in informing government policy.",0
"Consequently, sumo wrestlers can be identified immediately when in public.",0
"Its location is probably the first thing worth mentioning, being a 10 minutes walk from the natural history museum, a 15 minutes walk from beautiful Hyde Park and just behind the corner of the Gloucester Road underground station.",1
"The most famous Dutch classical composition is ""Canto Ostinato"" by Simeon ten Holt, a minimalistic composition for multiple instruments.",0
The wide screen is important because of the better keyboard.,1
It feels as easy to read as the K1 but doesn't seem any crisper to my eyes.,1
"The Groningen gas field, one of the largest natural gas fields in the world, is situated near Slochteren.",0
The rooms were consistent both times and on separate floors.,1
A further 460 Serbs were sentenced to death.,0
"Speed of calculation, accuracy, and simplicity of operation are top notch.",1
"In 1959, Freeman Dyson observed that every developing human civilization constantly increases its energy consumption, and, he conjectured, a civilization might try to harness a large part of the energy produced by a star.",0
"(""let red-haired thunder see to that!"").",0
The free morning coffee is also well appreciated and attended.,1
Pool is nice with whirlpool and saunas in the locker rooms.,1
I am still a little worried about that battery thing.,1
"Full sized laptops are so freaking bulky, heavy, and the battery wouldnt even make it though one of my evening classes.",1
The rooms are really new and clean and the staff is so nice.,1
"The transmission is horrible, it shifts revs horribly at the wrong times, it putters when it hits 1 1 2 rpms while coasting unless you rev it or hit the breaks, if you try to start the car in really cold weather it makes a horrible grinding noise, the dash rattles ALL the time, when I try to accelerate getting on the freeway it doesnt move & scares me and when it does move it revs even after take your foot from the gas.",1
"It is very easy to use, and when driving in the US , it displays the speed limit and your speed, which is helpful when converting from Kms to Miles.",1
These pushed the front line north to more advantageous positions for the Entente in preparation for an attack and to acclimatise the newly arrived Indian Army infantry.,0
As a backup I purchased a second battery.,1
"Courteous, responsive service and a great location!",1
"The significant transmission hesitations are unacceptable and possibly unsafe, and the 4 cyl engine provides inadequate power when challenged.",1
"Let me just say that the bed was king size, but the room was tiny and the bed took up most of it.",1
"The staff was friendly, courtious, and helpful.",1
"In 1275, a Song force of 130,000 troops under Chancellor Jia Sidao was defeated by Kublai's newly appointed commander-in-chief, general Bayan.",0
"Economic historian Joel Mokyr has argued that political fragmentation (the presence of a large number of European states) made it possible for heterodox ideas to thrive, as entrepreneurs, innovators, ideologues and heretics could easily flee to a neighboring state in the event that the one state would try to suppress their ideas and activities.",0
They achieved a victory at Caporetto (Kobarid).,0
"Over the years, understanding of the business cycle has branched into various research programmes, mostly related to or distinct from Keynesianism.",0
"Aside from missing the turbo's acceleration, I've preferred the Accord's better mileage, handling and comfort.",1
"The word garbanzo, from an alteration of Old Spanish arvanço, came first to American English as garvance in the 17th century, being gradually anglicized to calavance, though it came to refer to a variety of other beans (cf.",0
"It loads blazing fast, software runs smooth and even downloads from the internet seem to be faster.",1
I bought this car smitten by its exterior look and interior comfort.,1
The lunches are reasonably priced and the service is great.,1
From the time we arrived we were made to feel most welcome by all staff.,1
"My Jabra bluetooth headset works great with Skype, I've gotten 6 hours on my battery watching movies, listening to music   before plugging it back in.",1
"By the time this migration was complete, around 250 BC, a few general cultural and linguistic groups had emerged.",0
We dined as a party of 4 and were still hit with this,1
"The ethnic cleansing of the Ottoman Empire's Armenian population, including mass deportations and executions, during the final years of the Ottoman Empire is considered genocide.",0
At the steep price of this device we should get better quality components.,1
"Imported TV programmes, as well as interviews with responses in a foreign language, are virtually always shown with the original sound and subtitled.",0
"At this point, it is normal for the adapter to become very, very hot while charging all the way from low battery.",1
Pthe only negative thing's i will say is that the coffee maker in the room is a dreadfull waste of space and thee coffee pods and i stick of sugar and 2 pouches of milk a day is ridiculas there are no tea coffee making facilitys in the rooms to be honest as the coffee maker is just plain crazy.,1
"Around the house, i can freely roam to wherever i find comfortable or least noisy, NEVER having to worry about the power cord because of the seemingly infinite battery life.",1
"However, although Engels wrote in the 1840s, his book was not translated into English until the late 1800s, and his expression did not enter everyday language until then.",0
"High Honda quality interior materials, great stereo, and loaded with every option you could think of.",1
"Early antisemites in the party included Dietrich Eckart, publisher of the Völkischer Beobachter, the party's newspaper, and Alfred Rosenberg, who wrote antisemitic articles for it in the 1920s.",0
"It is very convenient to the Gloucester Road tube stop, grocery store, drug store and fast food places.",1
The room   was very nice with a king size bed and a full size double sofa bed which was very comfortable and easy to use.,1
Other such societies published volumes of proceedings and transactions.,0
Thor casts his line and the monstrous serpent Jörmungandr bites.,0
Forget it!,1
They have added a lot of great features and it still has the same great sound and ease of use.,1
"I love the look, and the comfort, but would never buy one again.",1
Workers were able to organize these strikes through factory committees.,0
"In the British Empire, the war unleashed new forms of nationalism.",0
"Reaction to the announcement was positive across party lines, including from former presidents Bill Clinton and George W. Bush, and from many countries around the world.",0
"I've downloaded a lot of CDs and music from iTunes, also a few music videos,which are great fun to watch and hear.",1
"According to the Gallup Organization, Obama began his presidency with a 68% approval rating before gradually declining for the rest of the year, and eventually bottoming out at 41% in August 2010, a trend similar to Ronald Reagan's and Bill Clinton's first years in office.",0
Countries around the world started to recognise the changes and advancements in Britain and use them as an example to begin their own Industrial Revolutions.,0
I have had a freeze up twice where the mouse and keyboard stop responding.,1
"The Allies also convened the International Military Tribunal for the Far East on May 3, 1946, to prosecute some Japanese leaders for war crimes.",0
I gave the duribility and sound quality low scores so that the overall rating would be low.,1
It grabs satellites quickly and recalculates routes in seconds after I veer off in the wrong direction.,1
An extremely comfortable and capable sedan.,1
"Since its founding, the company has attracted criticism and controversy from multiple sources over its actions.",0
The Port of Rotterdam is the largest port in Europe and the world's largest outside East Asia.,0
"Already sick after months or years of violence and starvation, some were marched to train stations and transported for days at a time without food or shelter in open freight cars, then forced to march again at the other end to the new camp.",0
Japan is a developed country with a very high standard of living and Human Development Index.,0
"In the West, Germany was balanced only by France and Belgium, both of which were smaller in population and less economically vibrant than Germany.",0
This was important because the yield of seeds harvested to seeds planted at that time was around four or five.,0
Great sound and great price .,1
"The Kaiser, kings and other hereditary rulers all were removed from power and Wilhelm fled to exile in the Netherlands.",0
"At a higher level of generality, Paul Samuelson's treatise Foundations of Economic Analysis (1947) used mathematical methods beyond graphs to represent the theory, particularly as to maximizing behavioural relations of agents reaching equilibrium.",0
He also became Chairman of the Senate's subcommittee on European Affairs.,0
I went to my room it was a smoking room   ,1
The card which is left for you to leave comments and review your service went missing from my room on the fourth day which speaks volumes.,1
"The room was very comfortable, clean, and rather roomy for European standards.",1
"Consequently, passive resistance was called off in late 1923.",0
"Romania also set up concentration camps under its control in Transnistria, where 154,000–170,000 Jews were deported from 1941 to 1943.",0
"It will take video, but not pictures \?",1
He is the only President who was born in Hawaii and the only President who was born outside of the contiguous 48 states.,0
I was willing to downsize my screen size in favor of portability and speed.,1
"There, Grímnir says, Thor sits as judge at the immense cosmological world tree, Yggdrasil.",0
The first ghetto uprisings occurred in mid-1942 in small community ghettos.,0
The industrialization and scale of the murder was unprecedented.,0
The Polish political leadership and other leaders were the targets of an organized campaign of murder.,0
"If a case was included, as with the Kindle 1, that would have been reflected in a higher price.",1
"Iris Chang, author of The Rape of Nanking, criticized Murayama for not providing the written apology that had been expected.",0
"Saves mobile phone minutes, because you don't have to call and ask for directions.",1
I love the interior layout and comfort.,1
Thus conscription contributed greatly to Austria's disastrous performance on the battlefield.,0
The front desk staff was friendly as well.,1
I bought this car smitten by its exterior look and interior comfort.,1
"When you do find the ice, it is in a service area often cluttered with maid carts.",1
"We had a twin room on the 17th floor, it was a great room, with a great view.",1
"Demand-and-supply analysis is used to explain the behaviour of perfectly competitive markets, but as a standard of comparison it can be extended to any type of market.",0
"Although it is fun to drive and quality seems ok, the leather seats are very uncomfortable, especially on a long drive.",1
"At this point, wrestlers would wear loose loincloths rather than the much stiffer mawashi wrestling belts of today.",0
", It finally turned out that to see the elevation contours at lower zoom levels   you have to reduce the amount of detail displayed.",1
Soldiers pillaged from the poor and the wealthy alike.,0
"Free high speed wireless Internet access, which in San Francisco most always has a charge.",1
Rational individuals trade through bilateral contracts on open markets until the costs of transactions mean that using corporations to produce things is more cost-effective.,0
"Before I get into the specifics of my review, let me offer one important piece of advice, , BUY A CARRYING CASE to protect the screen!",1
"Service was poor and they got our order wrong, but they did correct it at no extra cost and the food was good.",1
"When the beetle is found turned upside down and one flips it over, Thor's favor may be gained.",0
"Microeconomics analyzes basic elements in the economy, including individual agents and markets, their interactions, and the outcomes of interactions.",0
Of course they won't be priced at $9.,1
The room and bathroom were very clean and serviced each day to a high standard.,1
"A modern large electrical power station (producing several hundred megawatts of electrical output) with steam reheat, economizer etc.",0
"However, the Tuscan Inn has the best of all worlds, great location, all the amenities, excellent staff, nice restaurant adjoining, and very reasonable prices.",1
"The imperial court often believed that successful generals endangered royal authority, and relieved or even executed them (notably Li Gang, Yue Fei, and Han Shizhong).",0
"The demand for heavier fabric was met by a domestic industry based around Lancashire that produced fustian, a cloth with flax warp and cotton weft.",0
I am so very disappointed with the gas mileage!,1
"The sovereignty of part of southern East Prussia was to be decided via plebiscite while the East Prussian Soldau area, which was astride the rail line between Warsaw and Danzig, was transferred to Poland outright without plebiscite.",0
so I'm pretty picky about my hotel rooms,1
The Zen school of Buddhism was introduced from China in the Kamakura period (1185–1333) and became popular among the samurai class.,0
"The drop in pressure immediately boils some of the water and the steam leaves through a nozzle, creating a propulsive force.",0
President Obama's 2011 State of the Union,0
The 4 cylinder lacks performance and handling and the gas saving is only minimal.,1
One of the greatest literary critics of this was the official and famous poet Su Shi.,0
On the plus side some of the staff were nice and helpful especially the concierge who was most gracious.,1
"This hotel can trade on its location which, although a rather ugly and unappealing area full of tacky tourist shops, predictable chain restaurants and large number of tour groups, is an excellent base to explore the city.",1
"The new looks are what attracted it to me initially, but its relatively smooth drive, comfort and reliability sold me on it.",1
"While the current understanding of physics rules out the possibility of faster-than-light travel, it appears that there are no major theoretical barriers to the construction of ""slow"" interstellar ships, even though the engineering required is considerably beyond our present capabilities.",0
The room was also very roomy.,1
They are used in other hot dishes with bacalhau and in soup.,0
"Obviously, the battery drained out within hours.",1
00 found most other places closing,1
"In January 2003, Obama became chairman of the Illinois Senate's Health and Human Services Committee when Democrats, after a decade in the minority, regained a majority.",0
"The populace engaged in a vibrant social and domestic life, enjoying such public festivals as the Lantern Festival and the Qingming Festival.",0
Many of the pagoda towers built during the Song period were erected at heights that exceeded ten stories.,0
"The statesman and historian Ouyang Xiu (1007–1072) called the religion a ""curse"" that could only be remedied by uprooting it from Chinese culture and replacing it with Confucian discourse.",0
"Even if you want to, I think it is way too pricey.",1
I still can't figure out if it's a difference in  service  from US and UK standards or if it's just this hotel.,1
"In 2002, Masatoshi Koshiba (University of Tokyo) and Koichi Tanaka (Tohoku University) won in physics and chemistry, respectively.",0
"What the 255w does best is find a street address, business, point of interest, hospital or airport and give you turn, by, turn directions with amazing accuracy.",1
The voices seem too robotic.,1
The Japan Maritime Self-Defense Force (JMSDF) is a regular participant in RIMPAC maritime exercises.,0
"In August 2011, Moody's rating has cut Japan's long-term sovereign debt rating one notch from Aa3 to Aa2 inline with the size of the country's deficit and borrowing level.",0
Maaibre Sheshi (also Sheshy) was a ruler of areas of Egypt during the Second Intermediate Period.,0
Today most electric power is provided by steam turbines.,0
but what's with the Check in   out staff\?,1
"Yoshida argues that ""Nanking crystallizes a much larger conflict over what should constitute the ideal perception of the nation: Japan, as a nation, acknowledges its past and apologizes for its wartime wrongdoings; or ... stands firm against foreign pressures and teaches Japanese youth about the benevolent and courageous martyrs who fought a just war to save Asia from Western aggression.",0
"Very good mileage, getting about 28 mpg combined highway, and I have a heavy foot.",1
This car is stylish and very comfortable to drive.,1
"Ay is the last 13th Dynasty pharaoh to be attested in Lower Egypt, and most scholars, therefore, contend that he abandoned Itjtawy, the capital of Egypt since the reign of",0
"On 27 August 1916, the Romanian Army launched an attack against Austria-Hungary, with limited Russian support.",0
"In the summer, the region is cooler than the Pacific area, though it sometimes experiences extremely hot temperatures because of the foehn.",0
Only negative is the bathroom area is a little small.,1
"He plays basketball, a sport he participated in as a member of his high school's varsity team and he is left-handed.",0
The battery life has been amazing so far.,1
"Good thing the nook boasts a removable back cover, because the store clerk had to take it off to remove the battery for a hard restart.",1
"Portions of Upper Silesia were to be ceded to Poland, with the future of the rest of the province to be decided by plebiscite.",0
The reception staff were extremely helpful and polite and couldn’t do enough for you  all in all a good stay for a couple of nights.,1
"It's fast, very organized and just plain and simple witty.",1
"In 2014, the country ranked fourth for the percentage of 25- to 64-year-olds that have attained tertiary education with 48 percent.",0
"Hugo Grotius, the founder of a purely rationalistic system of natural law, argued that law arises from both a social impulse—as Aristotle had indicated—and reason.",0
"To get ice, you have to first get a bucket from room service.",1
"The check in   check out were very efficient, however my personal opinion was that the staff did not go out of their way to be friendly or welcoming.",1
"Čabrinović threw a grenade at the car, but missed.",0
"In January 1923, French and Belgian forces occupied the rest of the Ruhr area as a reprisal after Germany failed to fulfill reparation payments demanded by the Versailles Treaty.",0
"dialect singing folk band Rowwen Hèze, rock band BLØF and duo Nick &amp; Simon.",0
Commanders on both sides failed to develop tactics for breaching entrenched positions without heavy casualties.,0
The video works very well for such a small sensor and it is so easy and convenient to use.,1
"The Dutch location gives it prime access to markets in the UK and Germany, with the Port of Rotterdam being the largest port in Europe.",0
"On November 4, Obama won the presidency with 365 electoral votes to 173 received by McCain.",0
ok,1
"Ever since a major reform of the health care system in 2006, the Dutch system received more points in the Index each year.",0
Parking is an issue in SF so either pay the $30.,1
"Fit and finish are exquisite, the interior is extremely well designed, looks good, fun to drive.",1
Economics focuses on the behaviour and interactions of economic agents and how economies work.,0
"5G lies a more mature iPod, many steps wiser and more able than its one, year, old  The iPod gains many incremental improvements, including a brighter screen and better video battery life, but probably the most appealing aspect is the tantalizing price points of $249 for the 30GB version and $349 for the huge 80GB version.",1
Large clean bathrooms fully stocked with everything needed.,1
"The United States held 48,000.",0
The seller advertised it as the NEWEST model which should be able to take pictures and video.,1
"However, as of 843, it was divided into three parts—East, Middle, and West Francia.",0
It should have the names of streets written down on the display roads as you pass them.,1
"Similar deportations happened in other ghettos, with many ghettos totally emptied.",0
"In the top division, in the last few days, wrestlers with exceptional records often have matches against much more highly ranked opponents, including san'yaku wrestlers, especially if they are still in the running for the top division championship.",0
Can't believe the picture quality and ease of video use!,1
"Hate Crimes Prevention Act, the first addition to existing federal hate crime law in the United States since Democratic President Bill Clinton signed into law the Church Arson Prevention Act of 1996.",0
"As of 2016, the key trading partners of the Netherlands were Germany, Belgium, the United Kingdom, the United States, France, Italy, China and Russia.",0
"To make things worse, in the the  Main st  may not be on the screen on the default scale.",1
"Respect for the Aged Day on Third Monday of September, Autumnal Equinox on September 23 or 24, Health and Sports Day on Second Monday of October, Culture Day on November 3, Labour Thanksgiving Day on November 23, and The Emperor's Birthday on December 23.",0
"In 1915, Italy joined the Allies and Bulgaria joined the Central Powers; Romania joined the Allies in 1916, as did the United States in 1917.",0
Private renting from housing landlords was the dominant tenure.,0
Service was spotty  Front desk was marginally helpful.,1
"From the time of its start until the approach of World War II, the First World War was called simply the World War or the Great War and thereafter the First World War or World War I.",0
The army was unsuccessfully deployed during the Belgian Revolution in 1830.,0
Legionaries arrived less than a week afterwards and captured the city.,0
"Chickpeas are roasted, spiced, and eaten as a snack, such as leblebi.",0
It was freezing cold in the room,1
"We passed a number of banks on the way up and also a large post office offering currency etc which should give better rates than the hotels in, house money changing service.",1
This was our first trip to London and we found the location to be excellent.,1
And the service was just ok too.,1
"6, 4, 3 eco engine has poor performance and gas mileage of 22 highway.",1
They also have a computer available with free internet which is a nice bonus,1
"Website also said rooms had been recently redecorated, guess they forgot our 2 rooms, kind of shabby.",1
"Then again, the rooms are much larger and the view more than makes up for it.",1
There was no room once sofa bed was down as we had to climb over it to get to toilet once our daughter was in bed.,1
"The room is quite large, very clean with beautiful view over London.",1
The cleaning staff was superb and everything was accessible.,1
"Room wasn't that big but looks like brand new, bed was very comfy.",1
"1incredible battery life, 2weight  ",1
An economic system of a society is the unit of analysis.,0
Some market organizations may give rise to inefficiencies associated with uncertainty.,0
"They regard it as a religious duty to offer to him, on fixed days, human as well as other sacrificial victims.",0
"The English army under command of Robert Dudley, 1st Earl of Leicester was of no real benefit to the Dutch rebellion.",0
There was never a time where I saw the concierge desk unstaffed.,1
"DON'T rely on your test drive, the seats are Very uncomfortable and when the engine goes into the  econo  mode the vehicle  shifts rocks violently  forward and when leaving the  econo  mode it shifts rocks forward once again which means that the vehicle is  CONTINUOUSLY  SHAKING AND ROCKING.",1
It was clean and serviced promptly every day with fresh linen and towels.,1
"David Andelman notes ""refusing to pay doesn't make an agreement null and void.",0
"All in all, it was a decent hotel, but I think I may try somewhere else next time purely just to see what else is available at the same kind of price.",1
"The price was great, the staff was awesome, and the rooms were clean.",1
The sources that jurisdictions adopt as authoritatively binding are the defining features of any legal system.,0
"This was the greatest decline since at least 1947, when comparable figures were first compiled.",0
"We thought this modern, efficient hotel was excellent value for such a great location in the heart of London.",1
It's easier on the eyes not to have that light.,1
"This would march German armies through northern Belgium and into France, in an attempt to encircle the French army and then breach the 'second defensive area' of the fortresses of Verdun and Paris and the Marne river.",0
The interior design is roomy and very comfortable.,1
"Not only the voice gives turn, by, turn instructions, the map on the screen also has a thick purple line indicating the route ahead.",1
I had an apple ipod 3rd generation and the 5th genteration is twice as good as the numbering would suggest.,1
"Nazi policies divided the population into two groups: the Volksgenossen (""national comrades"") who belonged to the Volksgemeinschaft, and the Gemeinschaftsfremde (""community aliens"") who did not.",0
but I never noticed any indication of when the connection came back.,1
"Thus, it remains possible that human beings have neither existed long enough nor made themselves sufficiently detectable to be found by extraterrestrial intelligence.",0
"The subsequent ""Shōwa period"" initially saw the power of the military increased and brought about Japanese expansionism and militarization along with the totalitarianism and ultranationalism that are a part of fascist ideology.",0
Nette Lage aber durchschnittlicher Service!,1
Great rooms fantastic location and great service!,1
The clarity of the screen makes even the smallest font readable.,1
"The Provisional Government, with the support of Socialist-Revolutionary Party-Menshevik leaders of the All-Russian Executive Committee of the Soviets, ordered an armed attack against the demonstrators, killing hundreds.",0
Video camera quality and sound are also surprising for such a small unit.,1
"Allows you to type in two street names, and if they intersect, the GPS unit will give you directions to that intersection.",1
"It has traditionally been typified by wooden structures, elevated slightly off the ground, with tiled or thatched roofs.",0
"The room was clean, the staff was great and it was CLOSE to Pier 39 and Fisherman's Wharf.",1
"The valet parking was overpriced, the service was terrible, and the coffe was cold.",1
"We arrived about 11 am, room was ready.",1
"Despite the lighter text, I prefer the K2 for its thinness and its improved navigation and I use if far more than my K1.",1
Exterior reminds me of a 530i and the interior is plush especially with the light woodgrain finish.,1
"The styling does not say  Camry  anymore and the interior is mostly excellent, door handles are too hard and plasticky, some rattles especially when cold outside, not overly fond of the center console design.",1
"and it’s so, so hard to tell fact from fiction or even to tell whether or not someone was having a bad day when they arrived or left or whether or not a guest was rude him herself and thus caused the hotel staff to be standoffish or what.",1
"Having noted that much, Peukert commented that the policy of rapprochement with the Western powers that Gustav Stresemann carried out between 1923 and 1929 were constructive policies that might have allowed Germany to play a more positive role in Europe, and that it was not true that German democracy was doomed to die in 1919 because of Versailles.",0
"Today, I checked the Web updater again and their was a second update for Jack TTS and Samantha TTS.",1
"My desktop is a very strong dual, core computer running windows 7 and I cant see a performance decrease doing everyday things on the netbook.",1
"I have noticed that when I see a speed limit sign on the road, indicating a change of speed limit for that road, the Nuvi is not far behind in changing the speed limit on the screen.",1
The experimental measurements made by Watt on a model steam engine led to the development of the separate condenser.,0
"The rooms are spacious and have nice views, I was NOT impressed with the mattress and every, little, tiny thing costs money.",1
Service was great as I was greeted immediately by bellstaff from my taxi and the desk person greeted me with a great smile.,1
Service was great and the concierge was very helpful.,1
"Although it's a lower trim level, it has high quality interior trim  very comfortable seats  and and very smooth, quiet ride.",1
"Meeting the demands of the consumer revolution and growth in wealth of the middle classes in Britain, potter and entrepreneur Josiah Wedgwood, founder of Wedgwood fine china and porcelain, created goods such as tableware, which was starting to become a common feature on dining tables.",0
"Tanks were developed by Britain and France and were first used in combat by the British during the Battle of Flers–Courcelette (part of the Battle of the Somme) on 15 September 1916, with only partial success.",0
"Under the coordination of the SS, with directions from the highest leadership of the Nazi Party, killings were committed within Germany itself, throughout German-occupied Europe, and across all territories controlled by the Axis powers.",0
"In the Kindle 2, the corners have been rounded and the buttons have been restructured so that it takes a little pressure to press inward instead of outward.",1
Spoken directions are crystal clear.,1
"Powerfull, quiet, good gas mileage, excellent workmanship, good audio system.",1
The keyboard is surprisingly good for someone like me with big hands.,1
Great sound and very easy to use.,1
"One of Lenin's intentions was to present members of the Soviet congress, who would assemble that afternoon, with a fait accompli and thus forestall further debate on the wisdom or legitimacy of taking power.",0
and I were travelling with our two teenage daughters.,1
It is the 63rd most populous country in the world.,0
Good Price Great Location Would definately stay there again!,1
Some reviewers have complained about the physical size of the battery extrusion from the bottom of the netbook.,1
"Popular dishes in Indian cuisine are made with chickpea flour, such as Mirchi Bada and mirapakaya bajji.",0
"Room was very modern and clean, too, and everything worked bar the kettle which was replaced with a brand new one in 15 minutes.",1
Being able to change the font sizes is awesome!,1
"On December 11, Rabe found that Chinese soldiers were still residing in areas of the Safety Zone, meaning that it became an intended target for Japanese attack despite the majority were innocent civilians.",0
"I miss having a dedicated button to deactivate the wireess, but the overall device has improved so much that I will get over the loss quickly.",1
"In exchange, the Central Powers recognised the sovereignty of Romania over Bessarabia.",0
"Video, motion sensing, screen size and sllek look  ",1
"The invocation appears thrice in Denmark (DR 110, DR 209, and DR 220), and a single time in Västergötland",0
"Ordered breakfast through room service, which was great and on, time.",1
"I originally bought the EEE to take with me whenever my laptop was too big to take somewhere, but have started exclusively using the EEE in place of my laptop because of its portability and battery life that greatly exceeds most full size laptops.",1
The location is perfect for walking to most attractions.,1
It also concerns the size and distribution of gains from trade.,0
"Only things I wish they added is measuring distance [not just steps] on the pedometer, better sound on the speaker, and a  capturing still images  with the video recording feature.",1
"Shen used ancient texts and existing models of armillary spheres to create one based on ancient standards; Shen described ancient weaponry such as the use of a scaled sighting device on crossbows; while experimenting with ancient musical measures, Shen suggested hanging an ancient bell by using a hollow handle.",0
"The default voice is extremely clear and easy to understand, so I never even tried any of the alternative voices.",1
"The staff was amazing, and went out of their way to help us.",1
"Since at least the 1960s, macroeconomics has been characterized by further integration as to micro-based modelling of sectors, including rationality of players, efficient use of market information, and imperfect competition.",0
"A widely accepted general standard is Pareto efficiency, which is reached when no further change can make someone better off without making someone else worse off.",0
"the good, the bad and the ugly ... to let truth loose"".",0
"The treaty stripped Germany of 25,000 square miles (65,000 km2) of territory and 7 million people.",0
"As the development of steam engines progressed through the 18th century, various attempts were made to apply them to road and railway use.",0
"However, I'd be sure to request a room AWAY from Cromwell Rd due to the noise issue.",1
Impressed by the headlamps and the interior layout.,1
Results generated by Amazon's search engine are partly determined by promotional fees.,0
"The continental breakfast which was included in the price was very nice and served in the dining room, a pleasant time before dashing off around the city.",1
"Prisoners wore colored triangles on their uniforms, with the color of the triangle denoting the reason for their incarceration.",0
"It has major transmission issues, which I have had fixed twice.",1
"One very simple, but very appreciated touch was the water service in the front lobby.",1
"Japan has a large industrial capacity, and is home to some of the largest and most technologically advanced producers of motor vehicles, electronics, machine tools, steel and nonferrous metals, ships, chemical substances, textiles, and processed foods.",0
"For self catering types, Bockwinkels is a well stocked mini grocery 2 blocks south and 1 block east on street level for snacks, drinks and all kinds of deli prepared foods, plus the Aon Center's underground food court 2 blocks south and 2.",1
The staff at the hotel are very helpful and nice.,1
I was very impressed with this hotel and its staff.,1
I ate their last night and the food and service were top noch.,1
"Well, after all, as I said, great location, great view, NOTHING ELSE!",1
"On 27 August, feeling betrayed by the government, Kornilov pushed on towards Petrograd.",0
"Practitioners use such methods to estimate the size, economic significance, and statistical significance (""signal strength"") of the hypothesized relation(s) and to adjust for noise from other variables.",0
"The staff was courteous, professional and efficient  the room very pleasant, and the location great!",1
Had the original iTouch,1
"We arrived on the evening of december 5th, and the check, in staff were helpful and efficient.",1
"For the most part, wartime diplomacy focused on five issues: propaganda campaigns; defining and redefining the war goals, which became harsher as the war went on; luring neutral nations (Italy, Ottoman Empire, Bulgaria, Romania) into the coalition by offering slices of enemy territory; and encouragement by the Allies of nationalistic minority movements inside the Central Powers, especially among Czechs, Poles, and Arabs.",0
We requested a room on a high floor before we left and this wish was granted with a 15th floor room with a view for miles,1
"Although an April 2010 survey of members of the National Association for Business Economics showed an increase in job creation (over a similar January survey) for the first time in two years, 73% of 68 respondents believed that the stimulus bill has had no impact on employment.",0
"Sugar (often in its liquid form, molasses) from the Caribbean was traded to Europe or New England, where it was distilled into rum.",0
Smooth and responsive interior is as luxurious as you can get without slapping an L on the grill.,1
Loved the location of this hotel!,1
The extra features of the 255W over lesser models that I find highly beneficial include spoken street names and the wide screen display.,1
"It avoids the steam condensing in the engine cylinders, and gives a significantly higher efficiency.",0
"I spent a bit of time researching the various netbooks currently available and thought that the 1005HA, P had a nice mix of style, battery life, ergonomics, and performance.",1
